id,title,designer,source_type,source_url,craft,technique,object,year,terms,terms_evidence,abbrev_list,special_stitches,special_stitch_names,placement_modifiers,stitches_used,gauge_stitch,gauge_form,turning_chain,turning_chain_by_stitch,tc_counts_as_stitch,tc_position,tc_color,foundation_form,first_stitch_in,round_join,stitch_marker_instructed,stitch_counts_given,shaping,repeats_stated,border,finishing_steps,has_chart,chart_type,chart_cell_means,chart_direction_stated,chart_row1_position,chart_key,written_also,rs_ws_stated,skill_level,hook_mm,hook_us,yarn_weight_form,yarn_brand_line,yarn_putup,yarn_amount_form,yarn_per_color,fiber_content,notions,finished_size,sizes_count,care,substitution_advice,video_links,copyright_terms,coder,confidence,notes,quotes
ct-two-color-graphghan,"Easy Single Crochet Graphghan Tutorial (2 Colors), Plus How to Change Color Mid Row",unstated,indie,https://cypresstextiles.net/2013/01/09/two-color-image-chart-tutorial/,crochet,tapestry,other,2013,unstated,inferred-from-stitches,no,no,none,none,sc;rev sc,unstated,unstated,1,single,unstated,end-of-row,unstated,other,unstated,unstated,yes,none,no,none,yes,weave-ends,no,n/a,one-stitch,n/a,n/a,n/a,no,no,easy,yes,yes,name-only,yes,no,unstated,no,no,no,no,0,no,yes,no,no,,low,"tutorial. Blog how-to for a two-color sc graphghan worked in rows carrying the non-working yarn (tapestry-style); reader supplies their own chart, so no chart is included but the text explicitly states one sc = one chart pixel (coded in chart_cell_means despite has_chart=no). Terms inferred US from ""SC""; not declared. Designer not named (site: cypress|textiles); year from URL date. Foundation is a chain of reader-chosen length, neither count nor multiple -- suggests a ""chain-unspecified"" value. ""Turn"" is never written; only ""chain 1 at the end of the row"". Border is worked in rounds with no join stated. Stitch markers/waste yarn suggested as optional, no notions list. Hook 11.5mm P with DK held double. No size given (sizes_count 0). Coder: agent-A.","terms: unstated | gauge_form: unstated | turning_chain: ""Work SC in every st, and then chain 1 at the end of the row."" | tc_counts_as_stitch: unstated | foundation_form: ""Take the background color, and hold two strands together. Chain as many as you need to cover the chart base as well as any extra stitches that you want on both sides."" | round_join: unstated (""Attaching contrast yarn in a corner, work 3SC and 1SC in each st and into the ends of every row of the blanket. 3SC in corners on every round and work the border however you like."") | chart_cell_means: ""The SC is considered a ""square"" stitch, because each SC can be considered a pixel on your chart."""
cv-1300-graphs,1300 Free Crochet Graph Patterns & Learn C2C!,Crochetverse,indie,https://crochetverse.com/1300-free-crochet-graphs-learn-c2c/,crochet,c2c,other,unstated,unstated,inferred-from-stitches,no,no,none,none,sc;hdc;dc,unstated,unstated,unstated,n/a,unstated,unstated,unstated,unstated,unstated,n/a,no,none,no,none,no,none,yes,n/a,block,no,unstated,n/a,no,no,unstated,no,no,unstated,no,no,unstated,no,no,no,no,0,no,no,yes,no,,low,"listing: blog post linking a Pinterest board of 1300+ graphs plus C2C tutorial videos; no pattern instructions. Technique coded c2c per title/framing but post says graphs suit C2C, bobble, sc or hdc (could be mixed). stitches_used lists stitches discussed as options only, not used. An Elf graph image is embedded (""plop it right here"") but absent from the text extraction, so chart_type/key uncoded. Comments give rough C2C gauge (""each square will be around 3/4 inch"") and a size cap (80-90 or 100x100 squares; 125x125 for cross-stitch conversion; 7-10 colors max), and a rule for rectangle C2C inc/dec. Terms inferred US from sc/hdc mentions. Coder: agent-A.","terms: unstated | gauge_form: unstated (nearest: ""if you do c2c you need to keep in mind each square will be around 3/4″ so you want the graph to be about 80-90 sqaures in either direction at most or the finished product will be too big."") | turning_chain: unstated | tc_counts_as_stitch: unstated | foundation_form: unstated | round_join: n/a | chart_cell_means: ""Love the elf!!–If i’m looking at a chart only, am I looking at 1square=1c2c block"" / ""Yes! I square would equal one block on a C2C."""
dfc-textured-blankets,50 Free Crochet Textured Blankets,Tiffany (Daisy Farm Crafts),indie,https://daisyfarmcrafts.com/50-free-crochet-textured-blankets/,crochet,mixed,other,unstated,unstated,none,no,no,none,none,unstated,unstated,unstated,unstated,n/a,unstated,unstated,unstated,unstated,unstated,unstated,no,none,no,none,no,none,no,n/a,n/a,n/a,n/a,n/a,no,no,unstated,no,no,unstated,no,no,unstated,n/a,no,no,no,0,no,no,no,no,,low,"listing. Roundup blog post linking 50 free Yarnspirations blanket patterns (Bernat, Caron, Patons, Red Heart); contains no pattern instructions at all. Item 46 is a knit pet bed, the rest are crochet blankets, so craft coded as crochet by majority. Brand names appear only inside linked pattern titles, not as a yarn specification, so yarn_brand_line=no. Author says ""I often substitute yarn in a project"" but gives no advice, so substitution_advice=no. Codebook may want a source_type/object value for ""roundup"" pages, and an explicit rule for turning_chain_by_stitch/round_join on non-patterns (used n/a and unstated respectively). Coder: agent-A.",terms: unstated | gauge_form: unstated | turning_chain: unstated | tc_counts_as_stitch: unstated | foundation_form: unstated | round_join: unstated | chart_cell_means: unstated (no chart)
drops-0-1396,Christmas Shine / DROPS Extra 0-1396,DROPS Design,european,https://www.garnstudio.com/pattern.php?id=8324&cid=17,crochet,rows,washcloth,unstated,US,declared,no,no,none,none,ch;dc;post-dc,dc,sts-and-rows-over-4in,unstated,unstated,yes,unstated,unstated,chain-count,4,n/a,no,changes-only,no,rows,no,fasten-off,yes,symbol-diagram,one-stitch,no,unstated,yes,no,no,unstated,yes,yes,unstated,yes,no,grams,yes,no,no,yes,1,no,yes,no,no,,medium,"Coder: agent-A. Raw file is a condensed extraction of the garnstudio page; diagrams A.1-A.3 are not in the text, so the turning chain and its position live only in the diagram (key lists ""1 chain stitch"" as a symbol) and are coded unstated. Only the foundation row is written out; the body is diagram-only. Post stitch is ""around the post"" with no front/back stated, so placement_modifiers=none is under-coding; codebook may want a `post-unspecified` value. Yarn weight is given as DROPS ""yarn group B"", which fits none of the yarn_weight_form values; suggest a `yarn-group` value. A stitch repeat width is stated (""13 repeats of 3 stitches"") but not as a foundation multiple, so repeats_stated=rows. Stitch count given only after the foundation row (=43 dc). Fiber not stated beyond the yarn name COTTON LIGHT.","terms: ""SOURCE: https://www.garnstudio.com/pattern.php?id=8324&cid=17  (English US/in)"" (cid=17 = US edition) | gauge_form: ""or the size needed to get 22 double crochets and 11 rows on 10 cm / 4"" in width and height."" | turning_chain: unstated — not in written text; ""DIAGRAM KEY: = 1 chain stitch; = work 1 double crochet in double crochet from previous row; = work 1 double crochet around the double crochet from previous row (around the post); = this row has already been worked - Start on next row!"" | tc_counts_as_stitch: ""Work 1 double crochet in the 4th chain stitch from hook (= 2 double crochets)"" | foundation_form: ""Work 58 chain stitches with hook size 3 mm / C."" | round_join: n/a — ""Worked back and forth in textured pattern."" | chart_cell_means: ""DIAGRAM KEY: = 1 chain stitch; = work 1 double crochet in double crochet from previous row; = work 1 double crochet around the double crochet from previous row (around the post)"""
drops-0-1396-uk,Christmas Shine / DROPS Extra 0-1396,unstated,european,https://www.garnstudio.com/pattern.php?id=8324&cid=19,crochet,rows,washcloth,unstated,UK,declared,no,no,none,none,ch;dc,dc,sts-and-rows-over-4in,unstated,single,yes,unstated,unstated,chain-count,4,n/a,no,changes-only,no,rows,no,fasten-off,yes,symbol-diagram,one-stitch,no,unstated,yes,no,no,unstated,yes,no,unstated,yes,no,grams,no,no,no,yes,1,no,no,no,no,,medium,"Coder agent-A. UK edition (cid=19) of drops-0-1396; text is a condensed extraction, diagrams A.1-A.3 not included, so the between-row turning chain lives only in the diagram (key has ""= 1 chain stitch"") and is coded unstated. Key includes ""work 1 treble crochet around the treble crochet from previous row"" = a post stitch with FP/BP unspecified; codebook has no post-unspecified value, coded none. Stitches given in UK terms (treble = US dc); stitches_used/gauge_stitch converted to US. Gauge called TENSION, over 10 cm not 4 in. Yarn weight given as DROPS ""yarn group B"" (no codebook value). ""100 g"" listed once before four colour numbers; per-colour amount ambiguous. Stitch count only on foundation row. ""13 repeats of 3 stitches"" is a diagram repeat count, not a foundation multiple. Key marker ""this row has already been worked - Start on next row!"" is a start-point cue, not a reading direction.","terms: ""TERMS: UK (declared by edition ""English (UK/cm)"")"" | gauge_form: ""or the size needed to get 22 treble crochets and 11 rows on 10 cm in width and 10 cm in height."" | turning_chain: unstated (only ""= 1 chain stitch"" in DIAGRAM KEY; no row-level chain count in text) | tc_counts_as_stitch: ""Work 1 treble crochet in the 4th chain stitch from hook (= 2 treble crochets)"" | foundation_form: ""Work 58 chain stitches with hook size 3 mm."" | round_join: n/a (worked in rows: ""Repeat the 2 diagram rows to finished length"") | chart_cell_means: ""DIAGRAM KEY: = 1 chain stitch; = work 1 treble crochet in treble crochet from previous row; = work 1 treble crochet around the treble crochet from previous row; = this row has already been worked - Start on next row!"""
drops-159-26,Waffle Love / DROPS 159-26,DROPS Design,european,https://www.garnstudio.com/pattern.php?id=6870&cid=17,knit,rows,washcloth,unstated,US,declared,no,yes,GARTER ST,none,k;p,stockinette;garter,sts-and-rows-over-4in,n/a,n/a,n/a,n/a,n/a,other,n/a,n/a,no,none,no,both,yes,fasten-off,yes,symbol-grid,one-stitch,no,unstated,yes,no,yes,unstated,yes,yes,unstated,yes,yes,grams,yes,no,no,yes,1,no,no,no,no,,medium,"Knit pattern, not crochet; all turning-chain fields n/a. Raw file is a condensed extraction (diagrams A.1/A.2 not present, only the key), so chart fields come from the key and the ""repeat A.2"" text. Terms set to US from the cid=17 edition per instructions, not from a printed declaration. Codebook gaps: foundation_form has no ""cast-on"" value (coded ""other""); finishing_steps has no ""bind-off"" value (coded ""fasten-off"" for ""loosely bind off""); hook_mm/hook_us used for needle sizes (3.5 mm / US 4); stitches_used has no knit vocabulary (coded k;p); gauge given over two stitches (stockinette and garter). special_stitches=yes for the GARTER ST definition line though garter is standard. repeats_stated=both from ""repeat A.2 until 3 sts remain"" (horizontal) and ""half a repetition vertically"", though no ""multiple of"" phrasing. yarn_per_color=yes for ""50 g in each of 9 colors"" (nine colorways, one color per cloth). Border = 3 garter ridges top/bottom and 3 edge sts. sizes_count=1.","terms: ""SOURCE: https://www.garnstudio.com/pattern.php?id=6870&cid=17  (English US/in)"" | gauge_form: ""DROPS STRAIGHT NEEDLES size 3.5 mm / US 4 - or size needed to get 22 sts x 30 rows in stockinette st or 45 rows in garter st = 4'' x 4'' (10 x 10 cm)."" | turning_chain: n/a (knit pattern, no turning chain stated) | tc_counts_as_stitch: n/a (unstated; knit pattern) | foundation_form: ""CLOTH: Cast on 49 sts."" | round_join: n/a (worked back and forth: ""GARTER ST (back and forth): K all rows."") | chart_cell_means: ""DIAGRAM KEY: = K from RS, P from WS; = P from RS, K from WS"" and ""3 edge sts in garter st, A.1 over 1 st, repeat A.2 until 3 sts remain"""
drops-203-1,Celtic Comfort / DROPS 203-1,DROPS Design,european,https://www.garnstudio.com/pattern.php?id=9194&cid=17,crochet,rows,blanket,unstated,US,declared,no,yes,quadruple-double crochet,FP;BP,ch;sc;dc;sc2tog;dtr;trtr,dc,sts-and-rows-over-4in,3,single,yes,start-of-row,n/a,chain-count,4,n/a,no,changes-only,yes,none,yes,fasten-off;seam,yes,symbol-diagram,one-stitch,no,unstated,yes,no,no,unstated,yes,yes,name-only,yes,no,grams,n/a,no,no,yes,1,no,no,no,no,,medium,"Coder: agent-A. Raw file is a condensed extract of the page, not full text; front-matter absences (care, fiber, video, copyright) may reflect the extract. Turning-chain text is self-contradictory: line 12 says 1 ch ""in addition to"" the first dc (does not count), line 13 says replace first dc with 3 ch (counts); coded 3/yes from line 13 plus foundation ""(= 2 double crochets)"" and edge ""3 ch (= 1 dc)"". Gauge says ""13 double crochets ... (with pattern)"". Yarn weight given as DROPS ""yarn group C"" - codebook needs a yarn-group value. Relief stitches ""worked around the post"" with front/back not distinguished in extract; a generic ""post"" modifier value may be needed. 4-yo ""quadruple-double crochet"" mapped to US trtr. tc_color n/a: single color. ""Wrong side"" appears only in assembly, not row labels.","terms: ""SOURCE: https://www.garnstudio.com/pattern.php?id=9194&cid=17  (English US/in)"" | gauge_form: ""CROCHET GAUGE: 13 double crochets in width and 10 rows in height (with pattern) = 10 x 10 cm = 4\"" x 4\""."" | turning_chain: ""At the beginning of each row of double crochets replace the first double crochet with 3 chain stitches."" / ""At the beginning of each row of double crochets work 1 chain stitch (in addition to the first double crochet)."" | tc_counts_as_stitch: ""Turn and work 1 double crochet in the 4th chain stitch from the hook (= 2 double crochets)"" / ""EDGE: 3 chain stitches (= 1 double crochet)"" | foundation_form: ""Work 33 chain stitches (including 3 chain stitches to turn with) using hook size 5.5 mm = US I/9 and Air."" | round_join: n/a (worked in rows) | chart_cell_means: ""DIAGRAM KEY (symbol chart, not a grid): single crochet in stitch; double crochet in stitch; 2 sc in same stitch; sc2tog; relief double-treble crochet worked around the post; relief triple-treble crochet."" / ""QUADRUPLE-DOUBLE CROCHET: Make 4 yarn overs, insert hook around stitch, ... = 1 stitch."""
drops-203-1-uk,Celtic Comfort / DROPS 203-1,unstated,european,https://www.garnstudio.com/pattern.php?id=9194&cid=19,crochet,rows,blanket,unstated,UK,declared,no,yes,quadruple-treble crochet;relief-triple-treble crochet,FP;BP,ch;slst;sc;dc;sc2tog;dtr-post;trtr-post,dc,sts-and-rows-over-4in,varies,sc=1;dc=3,yes,start-of-row,unstated,chain-count,4,n/a,no,changes-only,yes,none,yes,fasten-off;seam,yes,symbol-grid,one-stitch,yes,unstated,yes,no,no,unstated,yes,no,unstated,yes,no,grams,n/a,no,no,yes,1,no,no,no,no,,medium,"Coder: agent-A. File is a condensed extract of the UK (cid=19) edition with bracketed annotator comments, not full pattern text; diagram image absent. Two turning-chain rules in one pattern: ch 1 before UK-dc (US sc) rows ""in addition to"" the first st (does NOT count), ch 3 replaces first UK-tr (US dc) (COUNTS); tc_counts_as_stitch coded yes for the tr rule but codebook needs a ""varies"" value. stitches_used mapped UK->US (UK dc=sc, tr=dc, quadruple treble=trtr, triple treble=dtr). Post stitches stated only as ""around the post (three variants)"" without front/back named; FP;BP coded but a generic ""post"" value would fit better. Yarn weight given as DROPS ""yarn group C"" - no codebook value. Gauge says ""(with pattern)"" over trebles. Inc/dec in body are textural (diagram key), not shaping. Stitch counts only on foundation row and edge. ""Wrong side to wrong side"" appears only in assembly, not row RS/WS labels. Object coded blanket from size/assembly; word ""blanket"" not in extract.","terms: ""TITLE: Celtic Comfort / DROPS 203-1   TERMS: UK"" and ""SOURCE: https://www.garnstudio.com/pattern.php?id=9194&cid=19  (English UK/cm)"" | gauge_form: ""CROCHET TENSION: 13 treble crochets in width and 10 rows in height (with pattern) = 10 x 10 cm."" | turning_chain: ""At the beginning of each row of double crochets work 1 chain stitch (in addition to the first double crochet). At the beginning of each row of treble crochets replace the first treble crochet with 3 chain stitches."" | tc_counts_as_stitch: ""At the beginning of each row of treble crochets replace the first treble crochet with 3 chain stitches."" and ""work 1 treble crochet in the 4th chain stitch from the hook (= 2 treble crochets)"" (ch-1 rule: ""work 1 chain stitch (in addition to the first double crochet)"" = does not count) | foundation_form: ""Work 33 chain stitches (including 3 chain stitches to turn with). Turn and work 1 treble crochet in the 4th chain stitch from the hook (= 2 treble crochets), 1 treble crochet in each chain to end = 31 treble crochets."" | round_join: n/a - worked in rows (""Then work back and forth according to the diagram."") | chart_cell_means: ""DIAGRAM KEY: = row already worked, start at arrow; = start here; = double crochet in stitch; = treble crochet in stitch; = 2 double crochets in same stitch; = 2 double crochets worked together; = relief-triple-treble crochet around the post (three variants)."""
drops-265-1,Country Cottage Blanket / DROPS 265-1,DROPS Design,european,https://www.garnstudio.com/pattern.php?id=12562&cid=17,crochet,joined-rounds,blanket,unstated,US,declared,no,no,none,BLO;ch-sp,ch;slst;dc,dc,sts-and-rows-over-4in,n/a,n/a,yes,start-of-row,next,other,n/a,slst,no,none,no,rows,yes,fasten-off;seam,yes,symbol-diagram,one-stitch,no,unstated,yes,no,yes,unstated,yes,yes,unstated,yes,no,grams,yes,no,no,yes,1,no,no,no,no,,medium,"coder: agent-A. Raw file is a condensed transcript, not full page text; square instructions live only in diagram A.1 so round-by-round detail is unrecoverable. tc_* fields code the round STARTING chain (rounds, no turning); ""counts as first dc"" and ""from RS"" come from transcriber summary lines (2, 14), not verbatim pattern text. Foundation is a 4-ch ring joined with sl st: codebook may want a ""chain-ring"" value. Yarn weight given as DROPS ""yarn group C"", fits no yarn_weight_form value. Diagram start is the centre ring (""Start here!""), no chart_row1_position value for ""center"". turning_chain_by_stitch coded n/a for rounds (codebook says ""single""). Edge: ""Work this round 3 times"" coded as rows repeat.","terms: ""SOURCE: https://www.garnstudio.com/pattern.php?id=12562&cid=17  (English US/in)"" | gauge_form: ""13 double crochets in width and 8 rows in height with hook 5.5 MM = 10 x 10 cm = 4"" x 4""."" | turning_chain: n/a, worked in rounds: ""70 granny squares worked in the round from RS, joined, edged"" | tc_counts_as_stitch: ""ROUND JOIN: joined rounds, slip stitch into the 3rd/4th starting chain (starting chain counts as first dc)."" | tc_color: ""When changing colors, it is neatest if the last slip stitch on the round is worked with the new color."" | foundation_form: ""Start here! Work 4 chain stitches and form a ring with 1 slip stitch in first chain"" | round_join: ""= 1 slip stitch in 3rd chain stitch at beginning of round; = 1 slip stitch in 4th chain stitch at beginning of round"" | chart_cell_means: ""= 1 double crochet around chain-stitch ring/chain stitch/chain-space; = 1 double crochet around 4 chain stitches from previous round."""
ec-graphghan-intro,unstated,unstated,indie,https://emeraldcherub.com/crochetgraphghan/,crochet,mixed,other,unstated,unstated,none,no,no,none,none,unstated,unstated,unstated,unstated,single,unstated,unstated,unstated,unstated,unstated,unstated,no,none,no,none,no,none,no,n/a,n/a,n/a,n/a,n/a,no,no,unstated,no,no,unstated,no,no,unstated,n/a,no,no,no,0,no,no,no,no,,low,"fetch-failure. The raw file contains only a LiteSpeed ""404 Not Found"" error page (11 lines) for https://emeraldcherub.com/crochetgraphghan/ -- no pattern, tutorial, or listing content was captured. Nothing is codeable; every content field is unstated/n/a/no by absence, not by reading. Coder: agent-A. Suggest the codebook add a row-level status value (e.g. `fetch-failed` / `empty`) so rows like this can be excluded from counts rather than sitting as all-unstated, and that the corpus fetch tooling flag 404 bodies. Re-fetch (URL may have moved) or drop this id from the corpus.","terms: unstated (file is a 404 page, no text) | gauge_form: unstated | turning_chain: unstated | tc_counts_as_stitch: unstated | foundation_form: unstated | round_join: unstated | chart_cell_means: n/a | Only content present: ""404 Not Found"" / ""The resource requested could not be found on this server!"""
